id,split,text,entities,difficulty,pattern_type,missing_entities,has_typo,word_count
7001,train,Fresh Idli Sambhar for around 214 people is ready at MP Nagar. Collect before 5 PM.,"[{""start"": 30, ""end"": 33, ""label"": ""QUANTITY""}, {""start"": 6, ""end"": 18, ""label"": ""FOOD_TYPE""}, {""start"": 53, ""end"": 61, ""label"": ""LOCATION""}, {""start"": 78, ""end"": 82, ""label"": ""TIME""}]",medium,augmentation,,False,16
7002,train,217 food packets containing Masala Dosa are available after the restaurant at Kolar Road before 5 PM.,"[{""start"": 0, ""end"": 3, ""label"": ""QUANTITY""}, {""start"": 28, ""end"": 39, ""label"": ""FOOD_TYPE""}, {""start"": 78, ""end"": 88, ""label"": ""LOCATION""}, {""start"": 96, ""end"": 100, ""label"": ""TIME""}, {""start"": 64, ""end"": 74, ""label"": ""EVENT_TYPE""}]",medium,augmentation,,False,17
7003,train,45 food packets containing Dal Rice are available after the conference at MP Nagar before 6 PM.,"[{""start"": 0, ""end"": 2, ""label"": ""QUANTITY""}, {""start"": 27, ""end"": 35, ""label"": ""FOOD_TYPE""}, {""start"": 74, ""end"": 82, ""label"": ""LOCATION""}, {""start"": 90, ""end"": 94, ""label"": ""TIME""}, {""start"": 60, ""end"": 70, ""label"": ""EVENT_TYPE""}]",medium,augmentation,,False,17
7004,train,Fresh Curd Rice for around 49 people is ready at Arera Colony. Collect before 9 PM.,"[{""start"": 27, ""end"": 29, ""label"": ""QUANTITY""}, {""start"": 6, ""end"": 15, ""label"": ""FOOD_TYPE""}, {""start"": 49, ""end"": 61, ""label"": ""LOCATION""}, {""start"": 78, ""end"": 82, ""label"": ""TIME""}]",medium,augmentation,,False,16
7005,train,Fresh Idli Sambhar for around 99 people is ready at Kolar Road. Collect before 6 PM.,"[{""start"": 30, ""end"": 32, ""label"": ""QUANTITY""}, {""start"": 6, ""end"": 18, ""label"": ""FOOD_TYPE""}, {""start"": 52, ""end"": 62, ""label"": ""LOCATION""}, {""start"": 79, ""end"": 83, ""label"": ""TIME""}]",medium,augmentation,,False,16
7006,train,210 food packets containing Poha are available after the wedding at Indrapuri before 7 PM.,"[{""start"": 0, ""end"": 3, ""label"": ""QUANTITY""}, {""start"": 28, ""end"": 32, ""label"": ""FOOD_TYPE""}, {""start"": 68, ""end"": 77, ""label"": ""LOCATION""}, {""start"": 85, ""end"": 89, ""label"": ""TIME""}, {""start"": 57, ""end"": 64, ""label"": ""EVENT_TYPE""}]",medium,augmentation,,False,15
7007,train,Our restaurant has 49 meal boxes of Rajma Chawal available for pickup near AIIMS Bhopal.,"[{""start"": 19, ""end"": 21, ""label"": ""QUANTITY""}, {""start"": 36, ""end"": 48, ""label"": ""FOOD_TYPE""}, {""start"": 75, ""end"": 87, ""label"": ""LOCATION""}]",medium,augmentation,,False,15
7008,train,124 food packets containing Poori Bhaji are available after the college fest at Kolar Road before 7 PM.,"[{""start"": 0, ""end"": 3, ""label"": ""QUANTITY""}, {""start"": 28, ""end"": 39, ""label"": ""FOOD_TYPE""}, {""start"": 80, ""end"": 90, ""label"": ""LOCATION""}, {""start"": 98, ""end"": 102, ""label"": ""TIME""}, {""start"": 64, ""end"": 76, ""label"": ""EVENT_TYPE""}]",medium,augmentation,,False,18
7009,train,Our restaurant has 215 food packets of Jeera Rice available for pickup near Lalghati.,"[{""start"": 19, ""end"": 22, ""label"": ""QUANTITY""}, {""start"": 39, ""end"": 49, ""label"": ""FOOD_TYPE""}, {""start"": 76, ""end"": 84, ""label"": ""LOCATION""}, {""start"": 4, ""end"": 14, ""label"": ""EVENT_TYPE""}]",medium,augmentation,,False,14
7010,train,164 food packets containing Lemon Rice are available after the temple event at MP Nagar before 9 PM.,"[{""start"": 0, ""end"": 3, ""label"": ""QUANTITY""}, {""start"": 28, ""end"": 38, ""label"": ""FOOD_TYPE""}, {""start"": 79, ""end"": 87, ""label"": ""LOCATION""}, {""start"": 95, ""end"": 99, ""label"": ""TIME""}, {""start"": 63, ""end"": 75, ""label"": ""EVENT_TYPE""}]",medium,augmentation,,False,18
7011,train,96 servings of Lemon Rice left after a conference. Pickup from Indrapuri before tonight.,"[{""start"": 0, ""end"": 2, ""label"": ""QUANTITY""}, {""start"": 15, ""end"": 25, ""label"": ""FOOD_TYPE""}, {""start"": 63, ""end"": 72, ""label"": ""LOCATION""}, {""start"": 80, ""end"": 87, ""label"": ""TIME""}, {""start"": 39, ""end"": 49, ""label"": ""EVENT_TYPE""}]",medium,augmentation,,False,14
7012,train,22 meal boxes of Veg Fried Rice left after a college fest. Pickup from New Market before tomorrow morning.,"[{""start"": 0, ""end"": 2, ""label"": ""QUANTITY""}, {""start"": 17, ""end"": 31, ""label"": ""FOOD_TYPE""}, {""start"": 71, ""end"": 81, ""label"": ""LOCATION""}, {""start"": 89, ""end"": 105, ""label"": ""TIME""}, {""start"": 45, ""end"": 57, ""label"": ""EVENT_TYPE""}]",medium,augmentation,,False,19
