id,split,text,entities,difficulty,pattern_type,missing_entities,has_typo,word_count
sp_ner_v2_train_00001,train,"There is leftover paratha rolls, around 155 food pakets, from a wedding in Arera Colony. Pickup after 6 PM.","[[18, 31, ""FOOD_TYPE""], [40, 55, ""QUANTITY""], [64, 71, ""EVENT_TYPE""], [75, 87, ""LOCATION""], [96, 106, ""TIME""]]",hard,formal+typo,,True,
sp_ner_v2_train_00002,train,"At Delhi, leftover rajma rice from catering order, quantity 18 packets. Collection soon.","[[3, 8, ""LOCATION""], [19, 29, ""FOOD_TYPE""], [35, 49, ""EVENT_TYPE""], [60, 70, ""QUANTITY""], [83, 87, ""TIME""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00003,train,Leftover food avaliable after an event in Arera Colony.,"[[42, 54, ""LOCATION""]]",hard,missing_entity+typo,"QUANTITY,FOOD_TYPE,EVENT_TYPE,TIME",True,
sp_ner_v2_train_00004,train,"From religious event at Arera Colony: poha, about 247 portions, pickup before midnight.","[[5, 20, ""EVENT_TYPE""], [24, 36, ""LOCATION""], [38, 42, ""FOOD_TYPE""], [44, 62, ""QUANTITY""], [71, 86, ""TIME""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00005,train,fruit salad available before lunch; source community lunch; area MP Nagar; quantity more than 102 meals.,"[[0, 11, ""FOOD_TYPE""], [22, 34, ""TIME""], [43, 58, ""EVENT_TYPE""], [65, 73, ""LOCATION""], [84, 103, ""QUANTITY""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00006,train,Lots of veg biryani left after temple event; can collect from Hyderabad.,"[[8, 19, ""FOOD_TYPE""], [31, 43, ""EVENT_TYPE""], [62, 71, ""LOCATION""]]",hard,missing_entity,"QUANTITY,TIME",False,
sp_ner_v2_train_00007,train,Still have 86 food packets paratha rolls after office lunch. Location is Jaipur. Pickup before midnight.,"[[11, 26, ""QUANTITY""], [27, 40, ""FOOD_TYPE""], [47, 59, ""EVENT_TYPE""], [73, 79, ""LOCATION""], [88, 103, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00008,train,401 plates roti sabzi available near Vijay Nagar. Pickup before 8 PM.,"[[0, 10, ""QUANTITY""], [11, 21, ""FOOD_TYPE""], [37, 48, ""LOCATION""], [57, 68, ""TIME""]]",hard,missing_entity,EVENT_TYPE,False,
sp_ner_v2_train_00009,train,298 plates chole rice left after hostel mess near Jaipur.,"[[0, 10, ""QUANTITY""], [11, 21, ""FOOD_TYPE""], [33, 44, ""EVENT_TYPE""], [50, 56, ""LOCATION""]]",hard,missing_entity,TIME,False,
sp_ner_v2_train_00010,train,"chapati sabzi bacha hai, maybe roughly 463 lunch boxes, after wedding in Jaipur. Need pickup after 6 PM.","[[0, 13, ""FOOD_TYPE""], [31, 54, ""QUANTITY""], [62, 69, ""EVENT_TYPE""], [73, 79, ""LOCATION""], [93, 103, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00011,train,"There is leftover khichdi, around 405 packets, from a office lunch in Pune. Pickup early morning.","[[18, 25, ""FOOD_TYPE""], [34, 45, ""QUANTITY""], [54, 66, ""EVENT_TYPE""], [70, 74, ""LOCATION""], [83, 96, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00012,train,school function ke baad 428 boxes dal rice bachi hai in Andheri. Pickup soon.,"[[0, 15, ""EVENT_TYPE""], [24, 33, ""QUANTITY""], [34, 42, ""FOOD_TYPE""], [56, 63, ""LOCATION""], [72, 76, ""TIME""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00013,train,Still have more than 258 meals paneer curry after office lunch. Location is Kolar Road. Pickup before lunch.,"[[11, 30, ""QUANTITY""], [31, 43, ""FOOD_TYPE""], [50, 62, ""EVENT_TYPE""], [76, 86, ""LOCATION""], [95, 107, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00014,train,pulao left after a college fest in Andheri. Pickup before 7:30 PM.,"[[0, 5, ""FOOD_TYPE""], [19, 31, ""EVENT_TYPE""], [35, 42, ""LOCATION""], [51, 65, ""TIME""]]",hard,missing_entity,QUANTITY,False,
sp_ner_v2_train_00015,train,"Can someone collect samosa from Kolar Road before 7:30 PM? Quantity is 466+ plates, after seminar.","[[20, 26, ""FOOD_TYPE""], [32, 42, ""LOCATION""], [43, 57, ""TIME""], [71, 82, ""QUANTITY""], [90, 97, ""EVENT_TYPE""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00016,train,approx 225 packets of food available after family function near Gurgaon. Pickup tomorrow morning.,"[[0, 18, ""QUANTITY""], [43, 58, ""EVENT_TYPE""], [64, 71, ""LOCATION""], [80, 96, ""TIME""]]",hard,missing_entity,FOOD_TYPE,False,
sp_ner_v2_train_00017,train,"dal rice donate karna hai, lots of servings approx, corporate event ke baad, location Hyderabad, pickup around 10 PM.","[[0, 8, ""FOOD_TYPE""], [27, 43, ""QUANTITY""], [52, 67, ""EVENT_TYPE""], [86, 95, ""LOCATION""], [104, 116, ""TIME""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00018,train,We have 291 plates of paneer curry left after a wedding near Arera Colony. Collect before lunch.,"[[8, 18, ""QUANTITY""], [22, 34, ""FOOD_TYPE""], [48, 55, ""EVENT_TYPE""], [61, 73, ""LOCATION""], [83, 95, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00019,train,"Can someone collect samosa from Noida tonight? Quantity is food for around 80 people, after school function.","[[20, 26, ""FOOD_TYPE""], [32, 37, ""LOCATION""], [38, 45, ""TIME""], [59, 84, ""QUANTITY""], [92, 107, ""EVENT_TYPE""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00020,train,"Got 166 food packets paneer curry left from yesterday's office lunch near Nagpur, pikcup around 10 PM.","[[4, 20, ""QUANTITY""], [21, 33, ""FOOD_TYPE""], [56, 68, ""EVENT_TYPE""], [74, 80, ""LOCATION""], [89, 101, ""TIME""]]",hard,casual+typo,,True,
sp_ner_v2_train_00021,train,"Got 497+ plates fruit salad left from yesterday's religious event near Hyderabad, pickup before 8 PM.","[[4, 15, ""QUANTITY""], [16, 27, ""FOOD_TYPE""], [50, 65, ""EVENT_TYPE""], [71, 80, ""LOCATION""], [89, 100, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00022,train,Pickup before midnight. 217 packets of samosa left after corporate event near Mumbai.,"[[7, 22, ""TIME""], [24, 35, ""QUANTITY""], [39, 45, ""FOOD_TYPE""], [57, 72, ""EVENT_TYPE""], [78, 84, ""LOCATION""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00023,train,more than 124 meals of rajma rice are available from a birthday party in Arera Colony. Pickup in the next hour.,"[[0, 19, ""QUANTITY""], [23, 33, ""FOOD_TYPE""], [55, 69, ""EVENT_TYPE""], [73, 85, ""LOCATION""], [94, 110, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00024,train,some extra food of food packets are available from a community lunch in Bangalore. Pickup ASAP.,"[[0, 15, ""QUANTITY""], [19, 31, ""FOOD_TYPE""], [53, 68, ""EVENT_TYPE""], [72, 81, ""LOCATION""], [90, 94, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00025,train,"Khana waste nahi karna, 324 food packets dal rice available hai near Kolar Road after conference. Pickup before midnight.","[[24, 40, ""QUANTITY""], [41, 49, ""FOOD_TYPE""], [69, 79, ""LOCATION""], [86, 96, ""EVENT_TYPE""], [105, 120, ""TIME""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00026,train,"Donation available: enough for 50 people veg biryani from reception, location MP Nagar, pickup tomorrow morning.","[[20, 40, ""QUANTITY""], [41, 52, ""FOOD_TYPE""], [58, 67, ""EVENT_TYPE""], [78, 86, ""LOCATION""], [95, 111, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00027,train,"Anyone can take roughly 498 lunch boxes of veg meals? It is from a birthday party at Bhopal, available before 8 PM.","[[16, 39, ""QUANTITY""], [43, 52, ""FOOD_TYPE""], [67, 81, ""EVENT_TYPE""], [85, 91, ""LOCATION""], [103, 114, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00028,train,"idli sambar donate karna hai, 422 plates approx, school function ke baad, location Andheri, pickup before 7:30 PM.","[[0, 11, ""FOOD_TYPE""], [30, 40, ""QUANTITY""], [49, 64, ""EVENT_TYPE""], [83, 90, ""LOCATION""], [99, 113, ""TIME""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00029,train,136 packets veg meals can be donated after the school function at Kolar Road. Please collect before 7:30 PM.,"[[0, 11, ""QUANTITY""], [12, 21, ""FOOD_TYPE""], [47, 62, ""EVENT_TYPE""], [66, 76, ""LOCATION""], [93, 107, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00030,train,catering order ke baad roughly 457 lunch boxes vada pav bachi hai in Gurgaon. Pickup before lunch.,"[[0, 14, ""EVENT_TYPE""], [23, 46, ""QUANTITY""], [47, 55, ""FOOD_TYPE""], [69, 76, ""LOCATION""], [85, 97, ""TIME""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00031,train,We have around 250 plates of poha left after a temple event near Pune. Collect before 7:30 PM.,"[[8, 25, ""QUANTITY""], [29, 33, ""FOOD_TYPE""], [47, 59, ""EVENT_TYPE""], [65, 69, ""LOCATION""], [79, 93, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00032,train,"Anyone can take 50 boxes of pulao? It is from a conference at Mumbai, available soon.","[[16, 24, ""QUANTITY""], [28, 33, ""FOOD_TYPE""], [48, 58, ""EVENT_TYPE""], [62, 68, ""LOCATION""], [80, 84, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00033,train,"instead of wasting food, we want to donate 34 servings upma from community lunch at Lucknow. Pickup before midnight.","[[43, 54, ""QUANTITY""], [55, 59, ""FOOD_TYPE""], [65, 80, ""EVENT_TYPE""], [84, 91, ""LOCATION""], [100, 115, ""TIME""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00034,train,310 food packets of khichdi are available from a religious event in Arera Colony. Pickup before 7:30 PM.,"[[0, 16, ""QUANTITY""], [20, 27, ""FOOD_TYPE""], [49, 64, ""EVENT_TYPE""], [68, 80, ""LOCATION""], [89, 103, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00035,train,Pickup early morning. 354 servings of fruit salad left after community lunch near Mumbai.,"[[7, 20, ""TIME""], [22, 34, ""QUANTITY""], [38, 49, ""FOOD_TYPE""], [61, 76, ""EVENT_TYPE""], [82, 88, ""LOCATION""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00036,train,"There is leftover idli sambar, around nearly 355 servings, from a corporate event in Kolar Road. Pickup tomorrow morning.","[[18, 29, ""FOOD_TYPE""], [38, 57, ""QUANTITY""], [66, 81, ""EVENT_TYPE""], [85, 95, ""LOCATION""], [104, 120, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00037,train,around 10 PM pickup needed for 235+ plates biryani from conference in Bangalore.,"[[0, 12, ""TIME""], [31, 42, ""QUANTITY""], [43, 50, ""FOOD_TYPE""], [56, 66, ""EVENT_TYPE""], [70, 79, ""LOCATION""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00038,train,about 354 portions chapati sabzi left after conference. Pickup in the next hour.,"[[0, 18, ""QUANTITY""], [19, 32, ""FOOD_TYPE""], [44, 54, ""EVENT_TYPE""], [63, 79, ""TIME""]]",hard,missing_entity,LOCATION,False,
sp_ner_v2_train_00039,train,258+ plates meals are available. Need pickup soon.,"[[0, 11, ""QUANTITY""]]",hard,missing_entity,"FOOD_TYPE,EVENT_TYPE,LOCATION",False,
sp_ner_v2_train_00040,train,"Can someone collect poha from Kolar Road after 6 PM? Quantity is 17 servings, after reception.","[[20, 24, ""FOOD_TYPE""], [30, 40, ""LOCATION""], [41, 51, ""TIME""], [65, 76, ""QUANTITY""], [84, 93, ""EVENT_TYPE""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00041,train,"Anyone can take about 252 portions of dal rice? It is from a office lunch at Jaipur, available ASAP.","[[16, 34, ""QUANTITY""], [38, 46, ""FOOD_TYPE""], [61, 73, ""EVENT_TYPE""], [77, 83, ""LOCATION""], [95, 99, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00042,train,"Donation available: approx 395 packets paneer curry from school function, location Jaipur, pickup by 9 PM.","[[20, 38, ""QUANTITY""], [39, 51, ""FOOD_TYPE""], [57, 72, ""EVENT_TYPE""], [83, 89, ""LOCATION""], [98, 105, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00043,train,around 186 plates rice available near Bangalore. Pickup before midnight.,"[[0, 17, ""QUANTITY""], [18, 22, ""FOOD_TYPE""], [38, 47, ""LOCATION""], [56, 71, ""TIME""]]",hard,missing_entity,EVENT_TYPE,False,
